subj,kPre,betaPre,kPost,betaPost
102,0.100975806,0.414744209,0.083973801,0.144625958
103,0.023671437,0.226375626,0.048809016,0.198466342
104,0.018269677,0.205411493,0.068423797,0.154635897
105,0.013428398,0.714460481,0.042591352,0.607829672
106,0.020007927,0.722377219,0.020096281,1.132123897
107,0.003605739,0.718039609,0.009589339,0.166590267
108,0.030654841,0.71925473,0.024288296,0.551548673
109,0.275474023,0.613877043,0.297028281,0.884679059
111,0.019072417,0.6996852,0.030949928,1.177111384
112,0.046544166,0.356478581,0.033919778,0.395917095
115,0.155805149,0.380671504,0.296432985,0.882634804
116,0.023488336,0.540240617,0.038788009,0.371264817
117,0.044415508,0.439969691,0.031248957,0.50264347
118,0.125021888,0.683780068,0.127092895,1.063100219
119,0.071169681,0.612523487,0.072203497,0.763040558
120,0.005745953,0.728373773,0.002334623,0.647827337
121,0.020037381,0.711106432,0.031431329,1.191214139
122,0.006171813,0.601966188,0.007726093,1.190461307
123,0.096573661,0.400479286,0.298186421,0.888192105
124,0.002052286,0.665277152,0.002068426,0.370777124
125,0.000511263,0.713668979,0.000484612,1.130346031
126,0.275864689,0.613621404,0.182253737,0.256212752
127,0.022735437,0.526244079,0.023429592,0.52937945
128,0.014959135,0.718048787,0.035966892,0.654741824
129,0.032473188,0.450077506,0.037116369,0.280836918
130,0.00282563,0.32856593,0.001223257,0.406376372
131,0.002501514,0.571188225,0.002480997,0.624389438
132,0.011049458,0.507078163,0.007591086,0.70296161
133,0.000518345,0.71304169,0.000485788,1.143025038
134,0.019074281,0.244470049,0.001916292,1.128538099
135,0.002612242,0.404839314,0.001798061,0.409701805
136,0.000517529,0.70959099,0.000484886,1.144901175
137,0.042037448,0.689966306,0.014468723,1.164213892
138,0.02918234,0.268428737,0.006698194,0.210613544
139,0.001874779,0.700319824,0.006275992,0.704289928
140,0.003037473,0.524177271,0.005717566,1.192378854
141,0.042079931,0.695231087,0.030272128,0.185578268
142,0.014070011,0.359606213,0.007705081,1.19727726
143,0.00571716,0.726373383,0.004305058,1.148471344
144,0.010268002,0.70133113,0.024159219,0.554761502
145,0.023487656,0.541238463,0.019458288,0.322739082
146,0.010216323,0.706988003,0.007698568,1.21285827
147,0.040356405,0.39867861,0.016763313,0.237347842
148,0.000517834,0.708595436,0.016443678,0.030486152
149,0.003049217,0.525469811,0.017174343,0.02658144
150,0.019911398,0.719945894,0.053170836,0.0033616
151,0.000513651,0.711889642,0.016706146,0.026791209
152,0.056329743,0.465160765,0.06266141,0.003529529
153,0.001567101,0.695816019,0.032204426,0.012390934
154,0.037849301,0.249552872,0.057520868,0.003344772